MessungNr,Sensorabstand[cm],Nutzerabstand[cm],Abweichung[cm]
1,10.250,12.000,-1.750
2,12.800,2.000,10.800
3,15.600,12.000,3.600
4,18.450,12.000,6.450
5,21.100,12.000,9.100
6,23.950,12.000,11.950
7,26.700,23.000,3.700
8,29.550,23.000,6.550
9,32.300,23.000,9.300
10,35.150,23.000,12.150
11,37.900,21.000,16.900
12,40.750,12.000,28.750
13,43.500,12.000,31.500
14,46.350,12.000,34.350
15,49.100,12.000,37.100
16,51.950,12.000,39.950
17,54.700,12.000,42.700
18,57.550,1.000,56.550
19,60.300,212.000,-151.700
20,63.150,12.000,51.150
