Nr,Real,Sensor,Diff
1,0.00,1769007360.00,0.00
2,0.00,1769007360.00,0.00
3,0.00,1769007360.00,0.00
4,0.00,1769007360.00,0.00
5,0.00,1769007360.00,0.00
6,0.00,1769007360.00,0.00
7,0.00,1769007360.00,0.00
8,0.00,1769007360.00,0.00
9,0.00,1769007360.00,0.00
10,0.00,1769007360.00,0.00
11,0.00,1769007360.00,0.00
12,0.00,1769007360.00,0.00
13,0.00,1769007360.00,0.00
14,0.00,1769007360.00,0.00
15,0.00,1769007360.00,0.00
16,0.00,1769007360.00,0.00
17,0.00,1769007360.00,0.00
18,0.00,1769007360.00,0.00
19,0.00,1769007360.00,0.00
20,8639695872.00,1769007488.00,0.00
21,2.00,83.00,-81.00
22,12.00,26.00,-14.00
23,23.00,37.00,-14.00
24,34.00,35.00,-1.00
25,23.00,33.00,-10.00
26,43.00,35.00,8.00
27,23.00,56.00,-33.00
28,43.00,22.00,21.00
29,23.00,79.00,-56.00
30,2323.00,11.00,2312.00
31,12.00,42.00,-30.00
32,23.00,77.00,-54.00
33,45.00,60.00,-15.00
34,23.00,89.00,-66.00
35,34.00,33.00,1.00
36,45.00,86.00,-41.00
37,23.00,70.00,-47.00
38,12.00,46.00,-34.00
39,23.00,62.00,-39.00
40,43.00,56.00,-13.00
41,12.50,81.00,-68.50
42,872.09,18.00,854.09
43,23.00,97.00,-74.00
44,23.00,79.00,-56.00
45,23.00,72.00,-49.00
46,23.00,90.00,-67.00
47,23.00,72.00,-49.00
48,35.25,23.00,12.25
49,13.10,47.00,-33.90
50,23.00,65.00,-42.00
51,23.00,69.00,-46.00
52,7.25,1769011328.00,0.00
53,7.25,1769011328.00,0.00
54,44.00,1769011328.00,0.00
55,23.00,1769011328.00,0.00
56,23.00,1769011328.00,0.00
57,2.00,1769011328.00,0.00
58,12.00,1769011328.00,0.00
59,14.20,1769011328.00,0.00
60,23.00,1769011328.00,0.00
61,23.00,1769011328.00,0.00
62,23.00,1769011328.00,0.00
63,23.00,1769011328.00,0.00
64,18.60,1769011328.00,0.00
65,27.50,1769011328.00,0.00
66,23.00,1769011328.00,0.00
67,23.00,1769011328.00,0.00
68,16.33,1769011328.00,0.00
69,23.00,1769011328.00,0.00
70,16.40,1769011328.00,0.00
71,23.00,1769011328.00,0.00
72,23.00,83.00,-60.00
73,34.00,26.00,8.00
74,43.00,37.00,6.00
75,32.00,35.00,-3.00
76,12.00,33.00,-21.00
77,2121.00,35.00,2086.00
78,32.00,56.00,-24.00
79,23.00,22.00,1.00
80,12.00,79.00,-67.00
81,32.00,11.00,21.00
82,43.00,42.00,1.00
83,12.00,77.00,-65.00
84,23.00,60.00,-37.00
85,12.00,89.00,-77.00
86,32.00,33.00,-1.00
87,12.00,86.00,-74.00
88,21.00,70.00,-49.00
89,23.00,46.00,-23.00
90,12.00,62.00,-50.00
91,32.00,56.00,-24.00
92,12.50,81.00,-68.50
93,872.09,18.00,854.09
94,23.00,97.00,-74.00
95,23.00,79.00,-56.00
96,23.00,72.00,-49.00
97,23.00,90.00,-67.00
98,23.00,72.00,-49.00
99,35.25,23.00,12.25
100,13.10,47.00,-33.90
